cell_state,n_cells,NPPA_mean,NPPA_pct,NPPB_mean,NPPB_pct,NPPC_mean,NPPC_pct,NPR1_mean,NPR1_pct,NPR2_mean,NPR2_pct,NPR3_mean,NPR3_pct,CORIN_mean,CORIN_pct,MME_mean,MME_pct,FURIN_mean,FURIN_pct,DPP4_mean,DPP4_pct,KLKB1_mean,KLKB1_pct
PC1_vent,55053,0.0272,1.38,0.0017,0.08,0.0014,0.07,0.0013,0.07,0.0169,0.86,0.0292,1.34,0.0019,0.11,0.0271,1.22,0.0249,1.36,0.0004,0.02,0.0109,0.50
PC2_atria,16316,0.0988,4.46,0.0122,0.66,0.0018,0.09,0.0055,0.39,0.0224,1.34,0.0807,4.25,0.0091,0.55,0.0195,0.96,0.0477,3.09,0.0017,0.10,0.0162,0.90
PC3_str,12147,0.0678,2.66,0.0102,0.45,0.0037,0.17,0.0065,0.36,0.0245,1.25,0.0277,1.35,0.0058,0.30,0.0255,1.17,0.0580,2.90,0.0019,0.12,0.0142,0.70
PC4_CMC-like,780,0.0572,1.92,0.0272,1.41,0.0024,0.13,0.0057,0.51,0.0245,1.79,0.0455,3.85,0.1931,12.31,0.0323,2.18,0.0164,1.28,0.0304,2.56,0.0217,2.31
SMC1_basic,15137,0.0357,1.71,0.0039,0.22,0.0051,0.30,0.0063,0.43,0.0170,1.08,0.0128,0.66,0.0069,0.36,0.0087,0.41,0.0417,2.99,0.0011,0.05,0.0079,0.41
SMC2_art,4220,0.0999,4.95,0.0166,1.16,0.0024,0.19,0.0384,3.63,0.0228,1.92,0.0535,3.15,0.0170,1.14,0.0049,0.33,0.0513,4.76,0.0028,0.17,0.0216,1.28
FB1,38709,0.0140,0.57,0.0021,0.10,0.1821,7.70,0.0090,0.49,0.0256,1.42,0.0087,0.46,0.0196,1.10,0.1263,6.22,0.0267,1.45,0.0055,0.29,0.0310,1.65
FB2,32227,0.2267,10.74,0.0097,0.63,0.0154,0.83,0.0871,6.49,0.0474,3.71,0.0230,1.75,0.0245,1.75,0.0461,3.00,0.0413,3.23,0.0039,0.30,0.0467,3.33
FB3,22904,0.1485,8.71,0.0140,1.03,0.0606,2.56,0.0850,6.85,0.0250,2.11,0.0208,1.72,0.0158,1.42,0.0833,5.45,0.0692,5.90,0.0198,1.48,0.0233,1.83
FB4_activated,26814,0.1188,6.06,0.0299,1.78,0.0930,4.99,0.0332,2.40,0.0342,2.58,0.0139,1.09,0.0441,3.11,0.1245,7.51,0.0860,5.95,0.0244,1.63,0.0408,2.90
FB5,11205,0.1318,6.24,0.0102,0.63,0.1253,5.66,0.1479,9.86,0.0385,2.71,0.0116,0.80,0.0206,1.47,0.0659,3.86,0.0637,4.36,0.0261,1.65,0.0465,3.04
FB6,4074,0.0946,6.43,0.0130,1.35,0.0592,3.56,0.0341,3.66,0.0395,3.85,0.0299,3.04,0.0589,5.08,0.1723,11.90,0.0469,5.30,0.0126,1.72,0.0436,4.07
Meso,871,0.9696,36.51,0.0479,2.87,0.0018,0.11,0.1392,11.71,0.0270,2.99,0.0525,3.67,0.0479,2.64,0.0290,1.61,0.0435,5.40,0.2554,19.63,0.0182,1.15
Adip1,3891,0.1662,8.97,0.0222,1.46,0.0033,0.18,0.1492,11.33,0.0344,3.08,0.1318,9.38,0.0288,2.29,1.2746,60.37,0.0652,6.30,0.0041,0.41,0.0359,3.80
Adip2,1728,0.2131,14.81,0.0307,2.55,0.0149,1.56,0.1976,25.75,0.0533,8.45,0.1471,16.72,0.0523,6.54,1.1850,73.90,0.0795,12.79,0.0116,1.74,0.0545,7.87
Adip3,393,0.1398,8.65,0.0285,1.78,0.0092,0.76,0.2545,21.63,0.0119,1.02,0.1676,11.70,0.0377,3.56,1.2001,57.51,0.0477,5.85,0.0022,0.25,0.0298,3.05
Adip4,63,0.3163,11.11,0.2778,11.11,0.0956,6.35,0.2420,15.87,0.0308,3.17,0.2388,15.87,0.2588,14.29,1.0260,55.56,0.0460,3.17,0.0561,3.17,0.0658,4.76
NC1_glial,5517,0.2934,11.51,0.0281,1.36,0.0043,0.20,0.0083,0.42,0.0225,1.16,0.0109,0.54,0.0175,0.92,0.0152,0.71,0.0682,3.61,0.0051,0.31,0.0222,1.14
NC2_glial_NGF+,727,0.4143,18.71,0.0352,2.75,0.0185,1.10,0.0486,3.99,0.0521,4.54,0.0333,2.48,0.1080,7.29,0.0742,5.64,0.0394,3.44,0.0047,0.55,0.0599,5.78
NC3_glial,20,0.1220,5.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.1149,5.00,0.0000,0.00,0.0000,0.00
NC4_glial,13,0.4043,15.38,0.3986,15.38,0.0000,0.00,0.0000,0.00,0.0889,7.69,0.0000,0.00,0.2021,15.38,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00
NC5_glial,86,0.0183,1.16,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0521,3.49,0.2159,13.95,0.0531,2.33,0.0322,2.33,0.0364,2.33,0.0000,0.00,0.1563,10.47
NC6_schwann,18,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.2801,11.11,0.0796,5.56,0.3673,16.67,0.0000,0.00,0.0805,5.56,0.0000,0.00
CD4+T_naive,3074,0.0309,1.27,0.0048,0.26,0.0012,0.07,0.0005,0.03,0.0075,0.46,0.0012,0.10,0.0063,0.26,0.0060,0.26,0.0535,3.12,0.3171,15.35,0.0181,0.94
CD4+T_act,2352,0.0544,2.00,0.0049,0.26,0.0006,0.04,0.0007,0.04,0.0065,0.34,0.0047,0.21,0.0029,0.13,0.0080,0.38,0.0646,3.36,0.4620,21.13,0.0083,0.43
CD4+T_Th1,68,0.0225,1.47,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0377,2.94,0.3383,17.65,0.0000,0.00
CD4+T_Th2,120,0.0154,0.83,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0234,0.83,0.0000,0.00,0.0000,0.00,0.0261,0.83,0.0852,5.83,0.3215,17.50,0.0000,0.00
CD4+T_Th17,7,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.2937,14.29,0.0000,0.00,0.0000,0.00
CD4+T_Tfh,79,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0298,1.27,0.0507,3.80,0.4315,18.99,0.0000,0.00
CD4+T_reg,67,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0382,1.49,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0595,2.99,0.0000,0.00
CD8+T_cytox,1383,0.0105,0.43,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0015,0.07,0.0053,0.22,0.0175,1.08,0.0502,2.60,0.0100,0.51
CD8+T_em,1767,0.0173,0.74,0.0000,0.00,0.0000,0.00,0.0044,0.17,0.0150,0.62,0.0019,0.11,0.0051,0.23,0.0028,0.11,0.0265,1.47,0.3816,17.20,0.0058,0.34
CD8+T_te,2615,0.0192,0.73,0.0017,0.08,0.0009,0.04,0.0003,0.04,0.0096,0.46,0.0000,0.00,0.0000,0.00,0.0044,0.23,0.0153,0.88,0.0779,3.75,0.0071,0.38
CD8+T_trans,2515,0.0224,0.83,0.0022,0.12,0.0011,0.04,0.0012,0.04,0.0043,0.24,0.0027,0.12,0.0024,0.08,0.0020,0.08,0.0234,1.15,0.1537,6.76,0.0049,0.24
MAIT-like,605,0.0063,0.33,0.0056,0.50,0.0000,0.00,0.0000,0.00,0.0036,0.17,0.0000,0.00,0.0072,0.33,0.0073,0.50,0.1133,6.78,0.4314,21.16,0.0083,0.50
gdT,21,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.1458,9.52,0.0000,0.00,0.0000,0.00
NK_CD16hi,5793,0.0119,0.54,0.0014,0.07,0.0003,0.02,0.0000,0.00,0.0033,0.16,0.0005,0.02,0.0022,0.12,0.0017,0.09,0.1137,6.47,0.0050,0.36,0.0088,0.45
NK_CD56hi,1579,0.0156,0.70,0.0028,0.19,0.0000,0.00,0.0003,0.06,0.0096,0.57,0.0022,0.13,0.0062,0.25,0.0013,0.06,0.0673,3.48,0.0710,3.36,0.0037,0.19
ILC,172,0.0322,2.33,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0345,1.74,0.0044,0.58,0.0065,0.58,0.0127,0.58,0.1399,8.72,0.1500,6.98,0.0000,0.00
B,1183,0.0295,1.18,0.0041,0.25,0.0018,0.08,0.0025,0.17,0.0061,0.34,0.0027,0.17,0.0032,0.17,0.0102,0.51,0.0360,2.37,0.0088,0.68,0.0137,0.68
B_plasma,374,0.0925,6.42,0.0198,1.34,0.0047,0.53,0.0000,0.00,0.0000,0.00,0.0092,0.53,0.0212,1.60,0.0085,0.80,0.0308,2.94,0.0114,0.80,0.0084,0.53
CD14+Mo,4032,0.0411,2.01,0.0046,0.22,0.0002,0.02,0.0021,0.12,0.0003,0.02,0.0028,0.17,0.0040,0.27,0.0080,0.40,0.1645,11.66,0.0049,0.35,0.0016,0.15
CD16+Mo,4444,0.0424,2.05,0.0017,0.14,0.0000,0.00,0.0010,0.07,0.0005,0.05,0.0014,0.14,0.0042,0.27,0.0056,0.29,0.1282,9.27,0.0035,0.29,0.0048,0.34
MoMP,5579,0.0974,6.02,0.0125,1.02,0.0013,0.09,0.0041,0.39,0.0016,0.14,0.0026,0.27,0.0084,0.65,0.0346,2.49,0.1818,15.68,0.0493,3.33,0.0100,0.73
LYVE1+IGF1+MP,14178,0.0845,4.07,0.0041,0.25,0.0011,0.04,0.0017,0.09,0.0042,0.26,0.0026,0.15,0.0062,0.42,0.0100,0.47,0.0735,5.24,0.0050,0.35,0.0241,1.51
LYVE1+TIMD4+MP,14946,0.0965,5.67,0.0056,0.46,0.0000,0.00,0.0019,0.17,0.0011,0.14,0.0033,0.23,0.0064,0.55,0.0150,1.08,0.2009,16.18,0.0363,2.52,0.0124,1.02
LYVE1+MP_cycling,1936,0.0576,3.41,0.0043,0.36,0.0006,0.05,0.0017,0.15,0.0046,0.41,0.0054,0.31,0.0122,1.03,0.0147,0.98,0.0858,8.78,0.0221,1.60,0.0121,1.19
DC,964,0.0553,2.70,0.0034,0.21,0.0004,0.10,0.0014,0.10,0.0056,0.31,0.0043,0.21,0.0071,0.52,0.0154,0.83,0.1359,10.89,0.0082,0.83,0.0053,0.62
Neut,126,0.1769,4.76,0.0135,0.79,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0114,0.79,0.4505,17.46,0.1470,7.14,0.0000,0.00,0.0152,0.79
Mast,1734,0.0470,1.79,0.0036,0.12,0.0000,0.00,0.0027,0.12,0.0037,0.17,0.0030,0.12,0.0159,0.69,0.0113,0.46,0.0204,0.92,0.0927,3.92,0.0133,0.58
T/NK_cycling,217,0.0433,1.38,0.0000,0.00,0.0000,0.00,0.0038,0.46,0.0000,0.00,0.0000,0.00,0.0045,0.46,0.0000,0.00,0.0449,4.61,0.1203,8.29,0.0068,0.46
unclassified,13738,0.5562,23.56,0.3162,14.65,0.0060,0.63,0.0309,4.44,0.0218,3.60,0.0939,10.21,0.2328,15.42,0.0528,4.64,0.0810,9.39,0.0673,7.16,0.0692,8.81
